"filename", "language", "JavaScript", "JSON with Comments", "MS SQL", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\gradebook\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\gradebook\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 5, 36
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\materials\actions.ts", "TypeScript", 0, 0, 0, 209, 0, 0, 0, 0, 0, 6, 46, 261
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\materials\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\materials\materials-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 416, 0, 0, 0, 0, 23, 439
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\materials\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 5, 57
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\messages\actions.ts", "TypeScript", 0, 0, 0, 199, 0, 0, 0, 0, 0, 6, 50, 255
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\messages\messages-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 444, 0, 0, 0, 6, 36, 486
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 6, 16, 130
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\risk-zone\actions.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 14, 67
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\risk-zone\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\risk-zone\risk-zone-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 14, 243
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 106, 9, 14, 129
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 12, 95
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 2, 66
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\student\assignments\actions.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 5, 31, 148
